actor_1,actor_2,country,date_aired,episodes,genre,network,popularity,ranking,rating,tag,title,users,watchers
Gong Yoo,Kim Go Eun,South Korea,"Dec  2, 2016 - Jan 21, 2017",16,"Comedy,  Romance,  Fantasy,  Melodrama,  Supernatural",tvN,1,15,8.9,"Grim Reaper, Older Man/Younger Woman, Interspecies Romance, Age Gap, Dokkaebi, Supernatural, Fate, Bromance, Heartfelt, Tearjerker",Goblin,54781,94667
Hyun Bin,Son Ye Jin,South Korea,"Dec 14, 2019 - Feb 16, 2020",16,"Military,  Comedy,  Romance,  Drama,  Political","tvN, Netflix, Netflix, Netflix, Netflix",33,13,9.0,"North And South Korea, Strong Friendship, Lovers From Different Countries, Army Officer, Strong Male Lead, Strong Female Lead, Fate, Rich Female Lead, North Korean, Smart Female Lead",Crash Landing on You,30049,50108
Yeom Jung Ah,Lee Tae Ran,South Korea,"Nov 23, 2018 - Feb  1, 2019",20,"Mystery,  Psychological,  School,  Drama,  Family",jTBC,125,12,9.0,"Multiple Mains, Social Commentary, Makjang, Medical, Social Satire, Female Centered Plot, Satire, Evil Parental Figure, Rich Kids, Mother-Daughter Relationship",SKY Castle,11698,26604
Ji Chang Wook,Park Min Young,South Korea,"Dec  8, 2014 - Feb 10, 2015",20,"Action,  Thriller,  Mystery,  Comedy,  Romance,  Drama",KBS2,10,11,9.0,"Double Identity, Hidden Identity, Strong Male Lead, Sassy Female Lead, Secret, Trauma, Badass Male Lead, Reporter, Hardworking Female Lead, Calm Male Lead",Healer,40590,72406
Lee Hye Ri,Go Kyung Pyo,South Korea,"Nov  6, 2015 - Jan 16, 2016",20,"Friendship,  Comedy,  Romance,  Life,  Youth,  Drama,  Family",tvN,54,10,9.0,"Slice Of Life, Neighbors, Childhood Friends, Multiple Couples, Love Triangle, Second Lead Syndrome, High School, Best Friends, Coming Of Age, Bromance",Reply 1988,18525,39982
Lee Sun Kyun,IU,South Korea,"Mar 21, 2018 - May 17, 2018",16,"Business,  Psychological,  Life,  Drama,  Family",tvN,124,8,9.1,"Nice Male Lead, Strong Female Lead, Hardship, Smart Female Lead, Healing, Depression, Workplace, Infidelity, Hardworking Female Lead, Cold Woman",My Mister,10545,26902
Kim Dong Wook,Kim Jae Wook,South Korea,"Sep 12, 2018 - Nov  1, 2018",16,"Thriller,  Mystery,  Horror,  Supernatural,  Detective,  Investigation",OCN,392,75,8.8,"Exorcism, Demon, Priest, Shamanism, Psychic, Teamwork, Death, Ghost, Strong Friendship, Hot-tempered Male Lead",The Guest,4620,12636
Gong Hyo Jin,Kang Ha Neul,South Korea,"Sep 18, 2019 - Nov 21, 2019",40,"Thriller,  Comedy,  Romance,  Drama,  Family","KBS2, Netflix, Netflix, Netflix, Netflix",157,105,8.6,"Single Mother, Mystery, Police Officer, Serial Killer, Motherhood, Mother-Son Relationship, Hardworking Female Lead, Dorky Male Lead, Male Chases Female First, Nice Male Lead",When the Camellia Blooms,10388,23136
Park Shi Hoo,Moon Chae Won,South Korea,"Jul 20, 2011 - Oct  6, 2011",24,"Action,  Historical,  Romance,  Political",KBS2,262,142,8.6,"Forbidden Love, Strong Male Lead, Power Struggle, Strong Female Lead, Family Pressure, Joseon Dynasty, Revenge, Princess Lead, Grief, Star Crossed Lovers",The Princess's Man,7096,16494
Yoo Ji Tae,Woo Do Hwan,South Korea,"Oct 11, 2017 - Nov 30, 2017",16,"Action,  Thriller,  Mystery,  Detective,  Investigation",KBS2,263,182,8.5,"Revenge, Tragic Past, Enemy Mine, Vigilante, Corruption, Insurance, Strong Female Lead, Office Romance, Teamwork, Fraud",Mad Dog,6696,16437
Jang Dong Gun,Kim Ha Neul,South Korea,"May 26, 2012 - Aug 12, 2012",20,"Friendship,  Comedy,  Romance,  Drama,  Melodrama",SBS,134,225,8.3,"Love At First Sight, Adult Romance, Male Chases Female First, Multiple Couples, Bromance",A Gentleman's Dignity,13926,25875
Yoon Shi Yoon,Kyung Soo Jin,South Korea,"Jul 11, 2020 - Aug 16, 2020",12,"Thriller,  Mystery,  Crime,  Sci-Fi",OCN,626,275,8.5,"Parallel Dimension, Serial Killer, Suspense, Death, Murder, Detective, First Love, Strong Male Lead, Crossworlds Traveler, Death Of A Parent",Train,3038,8505
Yeon Woo Jin,Han Groo,South Korea,"Jul  4, 2014 - Aug 23, 2014",16,"Comedy,  Romance,  Drama,  Family",tvN,79,307,8.2,"Contract Relationship, Bickering Couple, Controlling Parent, Pretend Relationship, Cold Man/Warm Woman, Steamy Kiss, Rich Man/Poor Woman, Love/Hate Relationship, Eccentric Female Lead, Cold Man","Marriage, Not Dating",19097,34034
Joo Ji Hoon,Kim Hye Soo,South Korea,"Feb 21, 2020 - Apr 11, 2020",16,"Comedy,  Law,  Romance,  Drama","SBS, Netflix, Netflix, Netflix, Netflix",688,352,8.4,"Strong Female Characters, Law Firm, Badass Female Lead, Love/Hate Relationship, Lawyer, Deception, Investigation, Strong Female Lead, Money-obsession, Competent Protagonist",Hyena,2918,7856
Kim Jae Won,Namgoong Min,South Korea,"Apr  2, 2011 - Jul 10, 2011",30,"Friendship,  Business,  Comedy,  Romance,  Drama,  Family,  Melodrama",MBC,328,410,8.2,"Deafness, Disability, Hidden Identity, Love Triangle, Trauma, Tearjerker, Deaf Male Lead, Bromance, Revenge, Tragic Past",Can You Hear My Heart,6457,14486
Ahn Hee Yeon,Hwang Seung Eon,South Korea,"Jan 24, 2020 - Feb 21, 2020",10,"Friendship,  Business,  Romance,  Drama","MBC, Naver TV Cast, vLive",970,408,8.4,"Female Centered Plot, Independent Female Lead, Infidelity, Web Series, Betrayal, Nice Male Lead, Bartender, Sismance, Heartbreak, Second Chance",XX,2558,5642
Jung Ryeo Won,Yoon Hyun Min,South Korea,"Oct  9, 2017 - Nov 28, 2017",16,"Law,  Drama,  Mature,  Investigation",KBS2,493,451,8.2,"Independent Female Lead, Prosecutor, Strong Female Lead, Sexual Assault, Hardworking Female Lead, Calm Male Lead, Selfish Character, Personal Growth, Tragic Past",Witch's Court,4512,10244
Park Seo Joon,Go Ah Ra,South Korea,"Dec 19, 2016 - Feb 21, 2017",20,"Action,  Friendship,  Historical,  Comedy,  Romance,  Youth,  Martial Arts",KBS2,42,511,8.0,"Love Triangle, Bromance, Hidden Identity, Strong Male Lead, Identity Swap, Silla Dynasty, Jinheung, Hwarang, King, Nice Male Lead",Hwarang,20908,44092
Yoon Eun Hye,Park Yoo Chun,South Korea,"Nov  7, 2012 - Jan 17, 2013",21,"Romance,  Drama,  Melodrama",MBC,152,507,8.0,"Obsession, Obsessive Second Lead, Tragic Past, Love Triangle, First Love, Double Identity, Detective, Nice Male Lead, School Bullying, Childish Male Lead",Missing You,11348,23521
Yeon Woo Jin,Park Hye Soo,South Korea,"Jan 16, 2017 - Mar 14, 2017",16,"Business,  Comedy,  Romance,  Drama,  Melodrama",tvN,82,573,8.0,"Social Anxiety Disorder, Shy Man, Socially Awkward Protagonist, Healing, Office Romance, Boss/Employee Relationship, Rich Male Lead, Suicide, Secret, Workplace",Introverted Boss,15409,32735
Kim Hee Sun,Kim Sun Ah,South Korea,"Jun 16, 2017 - Aug 19, 2017",20,"Thriller,  Mystery,  Romance,  Drama",jTBC,1149,650,8.4,"Female Centered Plot, Strong Female Lead, Strong Female Characters, Independent Female Lead, Frenemy, Battle Of Wits, New Beginning, Foolish Male Character, Intelligent Child, Smart Female Lead",Woman of Dignity,1443,4743
Kim Hyung Suk,Lee Yoo Jin,South Korea,"Jun 29, 2017 - Aug 12, 2017",12,"Friendship,  Romance,  Life,  School,  Drama","Naver TV Cast, vLive",1574,644,8.3,"Multiple Mains, Multiple Couples, Miniseries, Older Woman/Younger Man, Male Chases Female First, Web Series, College Life, Older Man/Younger Woman, Unrequited Love, First Time",Love Playlist: Season 2,1740,3493
Kim Rae Won,Park Shin Hye,South Korea,"Jun 20, 2016 - Aug 23, 2016",20,"Comedy,  Romance,  Drama,  Medical",SBS,52,721,7.9,"Older Man/Younger Woman, Student/Teacher Relationship, Age Gap, Revenge, Nice Male Lead, Reverse-Harem, Doctor, Calm Male Lead, Strong Female Lead, Badass Female Lead",Doctors,20072,40457
Song Seung Heon,Seo Ji Hye,South Korea,"May 25, 2020 - Jul 14, 2020",32,"Psychological,  Comedy,  Romance,  Life,  Drama",MBC,480,781,8.0,"Ex-girlfriend Comes Back, Strong Female Lead, Adapted From A Webtoon, Bright Female Lead, Ex-Boyfriend Comes Back, Smart Male Lead, Psychiatry, Healing, Misunderstanding, Love Square",Dinner Mate,3332,10494
Ahn Nae Sang,Yoon Yoo Sun,South Korea,"Sep 19, 2011 - Mar 29, 2012",123,"Comedy,  Romance,  Drama,  Family,  Sitcom",MBC,1155,853,8.2,"Multiple Mains, Multiple Couples, Unrequited Love, Neighbors, Older Man/Younger Woman, Betrayal, Hospital, Student/Teacher Relationship, School",High Kick! The Revenge of the Short Legged,1559,4722
Jo Jung Suk,Lee Hye Ri,South Korea,"Nov 27, 2017 - Jan 16, 2018",32,"Comedy,  Romance,  Supernatural,  Detective",MBC,623,922,7.9,"Bromance, Possessed, Love Triangle, Idol Actor, Con Artist, Ghost, Girl's Day",Two Cops,3266,8575
Hwang Jung Eum,Ryu Joon Yeol,South Korea,"May 25, 2016 - Jul 14, 2016",16,"Friendship,  Business,  Comedy,  Romance,  Drama",MBC,199,778,7.8,"Nice Male Lead, Boss/Employee Relationship, Rich Man/Poor Woman, Love Triangle, Talisman, Next Door Neighbors, Unfortunate Experience, Unlucky Female Lead, Unlucky Lead, Tennis Player",Lucky Romance,10038,20144
Park Shi Hoo,Shin Hye Sun,South Korea,"Sep  2, 2017 - Mar 11, 2018",52,"Business,  Comedy,  Romance,  Life,  Drama,  Family",KBS2,905,921,8.0,"Rich Man/Poor Woman, Rich Male Lead, Sibling Relationship, Sisterhood, Badass Female Lead, Attempted Suicide, Smart Female Lead, Brother And Sister, Depression, Smart Male Lead",My Golden Life,2157,6046
Seo Ji Soo,Shin Jun Seop,South Korea,"Oct  8, 2019 - Nov  7, 2019",10,Romance,"Naver TV Cast, vLive",2068,1006,8.1,"Switched Identities, Café, Lovelyz, Idol Actress, Doppelganger, Scopophobia, Part-time Worker, Stalker, Trauma, Strong Female Lead",One Fine Week,1246,2543
Jung Il Woo,Kim Hye Sung,South Korea,"Nov  6, 2006 - Jul  7, 2007",167,"Comedy,  Romance,  Drama,  Family,  Sitcom",MBC,1676,1054,8.2,"Open Ending, Multiple Mains, Hidden Identity, Older Woman/Younger Man, Divorce, Sismance, Murder, Multiple Couples, Unrequited Love, Bromance",Unstoppable High Kick,1038,3229
Lee Jung Shin,Seo Ji Hoon,South Korea,"Jan  8, 2018 - Feb  6, 2018",10,"Mystery,  Comedy,  Romance,  School,  Drama,  Fantasy",OCN,695,1050,7.9,"Secret, Hidden Identity, Male Chases Female First, Nice Male Lead, First Love, Adapted From A Webtoon, Time Travel, Competent Protagonist, High School Romance, Strong Female Lead",Longing Heart,2464,7772
So Yi Hyun,Ok Taec Yeon,South Korea,"Jul 29, 2013 - Sep 17, 2013",16,"Thriller,  Mystery,  Horror,  Romance,  Supernatural",tvN,272,1128,7.7,"Secret, Betrayal, Ghost-seeing Female Lead, Older Woman/Younger Man, Murder, Amnesia, Ghost, Love Triangle, Suspense",Who Are You,7329,16095
Jo Jung Suk,Yoon Shi Yoon,South Korea,"Apr 26, 2019 - Jul 13, 2019",48,"Friendship,  Historical,  Romance,  Life,  Drama,  Family,  War,  Political",SBS,1204,1151,8.4,"Enemies To Friends, Peasants, Peasant Revolution, Siblings Relationship, Tough Female Lead, Badass Male Lead, Competent Protagonist, Strong Female Characters, Mature Protagonist, Nice Female Lead",The Nokdu Flower,742,4554
Lee Da Hae,Ryu Soo Young,South Korea,"Mar  3, 2018 - May  5, 2018",40,"Comedy,  Romance,  Drama,  Family,  Melodrama",SBS,1397,1175,7.9,"Identity Swap, Double Identity, Stoic Characters, Smart Protagonist, Flashback To Past, Identical Twins, Single Mother, Attempted Assault, Tough Female Lead, Attempted Murder",Nice Witch,1484,3966
Lee Bo Young,Lee Sang Yoon,South Korea,"Mar 27, 2017 - May 23, 2017",17,"Suspense,  Mystery,  Law,  Romance,  Drama,  Melodrama,  Investigation",SBS,834,1238,7.8,"Competent Protagonist, Law Firm, Benevolent Father, Fake Identity, Liar Female Lead, Wrongfully Accused, Smart Female Lead, Rivalry, Deception, Betrayal",Whisper,2197,6519
Park Hae Jin,Kim Eung Soo,South Korea,"May 20, 2020 - Jul  1, 2020",24,"Business,  Comedy,  Life,  Drama",MBC,1613,1300,8.1,"Bromance, Internship, Workplace, Food, Marketing, Slight Romance, Rivalry, Colleagues, Multiple Mains, Perfectionist",Kkondae  Intern,969,3399
Chae Shi Ra,Jo Bo Ah,South Korea,"May 26, 2018 - Aug  4, 2018",40,"Romance,  Life,  Drama,  Family,  Melodrama",MBC,1723,1367,8.1,"Benevolent Father, Useless Father, Hurt & Comfort, Adapted From A Web Novel, Motherhood, Smart Female Lead, Unexpected Pregnancy, Depression, Mistress, Childbirth",Goodbye to Goodbye,834,3137
Gu Hye Seon,Lee Sang Yoon,South Korea,"Apr  5, 2014 - Jun 15, 2014",20,"Romance,  Family,  Medical,  Melodrama",SBS,279,1446,7.5,"First Love, Blind Character, Male Chases Female First, Secret, Forbidden Love, Tearjerker, Death, Star Crossed Lovers, Hidden Past, Lovers Separated",Angel Eyes,7198,15997
Chun Ho Jin,Uhm Tae Goo,South Korea,"May  8, 2019 - Jun 27, 2019",16,"Thriller,  Mystery,  Psychological",OCN,2102,1539,8.2,"Cult, Fake Religion, Airhead Male Lead, Hardworking Female Lead, Domestic Abuse, Manipulative Character, Strong Male Lead, Brother And Sister, Church, Street Fight",Save Me 2,608,2489
Choi Hee Jin,Jung Gun Joo,South Korea,"May  8, 2019 - May 29, 2019",8,"Friendship,  Comedy,  Romance,  Drama",Naver TV Cast,2554,1617,7.9,"Miniseries, Web Series, Second Chance, Marriage",The Best Ending,817,1944
Kim Hye Joon,Kim Jung Young,South Korea,"Jul 22, 2020 - Aug 13, 2020",8,"Suspense,  Mystery,  Comedy,  Drama,  Family,  Melodrama",MBC,2677,1702,7.9,"Death, Death Of A Parent, Rich Characters, Strong Female Lead, Death By Poisoning, Family Relationship, Mistress, Black Comedy, Infidelity, Mother-Daughter Relationship",CHIP-IN,732,1827
Song  Ha Yoon,JB,South Korea,"Jan 27, 2015 - Mar  5, 2015",12,"Friendship,  Romance,  Drama,  Fantasy",Naver TV Cast,333,1782,7.4,"Got7, Web Series, Idol Actor, Miniseries, Reverse-Harem, K-Pop, Music, Miss A",Dream Knight,7799,14402
Park Jin Hee,Uhm Ji Won,South Korea,"Jan 20, 2010 - Mar 11, 2010",16,"Comedy,  Romance,  Melodrama",MBC,815,1778,7.4,"Older Woman/Younger Man, Age Gap, Restaurant Consultant, Naive Character, Bell's Palsy, Translator, Bright Character, Married Lead, Positive Character, Single Lead",The Woman Who Still Wants to Marry,3547,6670
Han Seung Yeon,Ji Chang Wook,South Korea,"Jun 13, 2014 - Jul 11, 2014",10,"Romance,  Drama,  Fantasy,  Melodrama",DRAMAcube,1028,1843,7.5,"Omnibus, Guardian Angel, Angel, Interspecies Romance, Multiple Couples, Idol Actor",Secret Love,1718,5338
Rain,Shin Min Ah,South Korea,"Oct 31, 2005 - Dec 20, 2005",16,"Romance,  Drama,  Melodrama,  Tragedy",KBS2,638,1912,7.4,"Revenge, Bodyguard, Forbidden Love, Love Triangle, Hate To Love, Misunderstanding, Brotherhood, Rich Woman/Poor Man, Actress",A Love To Kill,3884,8407
Lee Shi Young,Ji Hyun Woo,South Korea,"Jul 23, 2018 - Sep 17, 2018",32,"Romance,  Medical",MBC,1541,2010,7.5,"Death Of Friend, Eccentric Female Lead, Hospital, Arrogant Male Lead, Hate To Love, Cohabitation, Strong Female Lead, Cold Man/Warm Woman, Female Chases Male First",Risky Romance,1163,3567
Kang Ji Hwan,Sung Yoo Ri,South Korea,"Mar 28, 2016 - Sep 20, 2016",50,"Business,  Romance,  Crime,  Drama",MBC,1193,2095,7.5,"Power Struggle, Blindness, Blind Character, Revenge, Murder",Monster,1195,4585
Jung Il Woo,Go Sung Hee,South Korea,"Aug  4, 2014 - Oct 21, 2014",24,"Action,  Historical,  Romance,  Supernatural",MBC,725,2156,7.3,"Ghost-seeing Male Lead, Ghost, Joseon Dynasty, Idol Actor",Night Watchman's Journal,2659,7441
Kim Hyun Joong,Jin Se Yeon,South Korea,"Jan 15, 2014 - Apr  3, 2014",24,"Action,  Historical,  Romance,  Drama",KBS2,718,2223,7.2,"Female Fighter, Female Lead Action Scenes, Female Warrior, Japanese Colonial Rule, Adapted From A Manhwa",Inspiring Generation,2460,7550
Song Il Gook,Lee Jong Hyuk,South Korea,"Mar  7, 2011 - Apr 26, 2011",16,"Action,  Crime",KBS2,1930,2216,7.4,,Crime Squad,1015,2746
Park Shi Hoo,Song Ji Hyo,South Korea,"Aug 13, 2018 - Oct  2, 2018",32,"Suspense,  Horror,  Comedy,  Romance,  Drama",KBS2,569,2278,7.2,"Ghost, Eccentric Female Lead, Weak Male Lead, Rich Male Lead, Actor, Love Triangle, Murder, Screenwriter, Arrogant Male Lead, Hate To Love",Lovely Horribly,3081,9053
Hong Yoon Hwa,Kim Na Hyun,South Korea,"Dec 12, 2016 - Dec 23, 2016",12,"Comedy,  Romance,  Drama,  Supernatural",Naver TV Cast,734,2339,7.1,"Miniseries, Body Swap, Entertainment Industry, Twins, Switched Identities, Web Series, Idol, Idol Actor, Singer-Songwriter, Sismance",The Miracle,4184,7359
Kim Jae Joong,Bae Jong Ok,South Korea,"Jan  9, 2015 - Mar  6, 2015",16,"Thriller,  Romance,  Political",KBS2,1076,2338,7.2,"Spy, Mother-Son Relationship, North Korean",SPY,1404,5071
Jung So Min,Sung Joon,South Korea,"Oct 29, 2012 - Jan  1, 2013",20,"Romance,  Life,  Drama,  Family",jTBC,770,2409,7.1,"Family Pressure, Marriage, Step Family, Bickering Couple",Can We Get Married?,2639,7041
Seungri,Yoo Byung Jae,South Korea,"Oct  5, 2018",8,"Music,  Business,  Comedy","Netflix, Netflix, Netflix, Netflix",2701,2408,7.3,"Web Series, Black Comedy, Mockumentary, Idol Actor, K-Pop, Miniseries",YG Future Strategy Office,895,1799
Heo Young Ji,Han Ki Woong,South Korea,"Oct  5, 2015 - Oct 22, 2015",12,"Comedy,  Romance,  Drama",MBC every1,2269,2488,7.3,"Love At First Sight, Miniseries, Web Series, Multiple Couples, College Life",Alchemist,634,2263
Ji Chang Wook,Wang Ji Hye,South Korea,"Dec 21, 2011 - Mar  8, 2012",24,"Comedy,  Romance,  Drama,  Melodrama",Channel A,1039,2559,7.0,"Rich Woman/Poor Man, Nice Male Lead, Childhood Friends",Bachelor's Vegetable Store,1829,5240
Dennis Oh,Lee Joo Hyun,South Korea,"Nov  7, 2005 - Jan 10, 2006",20,"Action,  Comedy,  Romance,  Detective",MBC,3394,2615,7.0,"Undercover Agent, Cohabitation",Sweet Spy,619,1277
Jung Il Woo,Kang Ji Young,South Korea,"May 25, 2020 - Jun 30, 2020",12,"Food,  Friendship,  Comedy,  Romance,  Life,  Drama","jTBC, Viki",1619,2657,6.9,"Chef, Gay Character, Secret, Liar Male Lead, Misunderstanding, Pretends To Be Gay / Mistaken As Gay, Love Triangle, LGBTQ+, Closeted, Gay Subtext",Sweet Munchies,957,3385
Seo Young Hee,Ji Hyun Woo,South Korea,"Aug 20, 2011 - Feb  5, 2012",50,"Romance,  Drama,  Family",MBC,1475,2723,6.7,"Older Man/Younger Woman, Older Woman/Younger Man, Multiple Couples, Age Gap",A Thousand Kisses,1378,3740
Han Chae Ah,Shin Hyun Joon,South Korea,"Oct  1, 2012 - Nov 27, 2012",18,"Comedy,  Romance,  Drama",KBS2,2025,2784,6.6,"Infidelity, Body Swap",Ohlala Couple,1165,2601
Kang Ji Hwan,Han Chae Young,South Korea,"May 13, 2006 - Jul  9, 2006",17,"Romance,  Drama",MBC,3253,2864,6.2,"Older Woman/Younger Man, Character Development, Unrequited Love, Love Triangle",Exhibition of Fireworks,733,1367
Bae Doo Na,So Yi Hyun,South Korea,"Jul 31, 2010 - Jan 30, 2011",50,"Music,  Romance,  Drama,  Melodrama",MBC,3090,99999,7.3,"Rich Woman/Poor Man, Poor Characters, Multiple Couples, Rich Man/Poor Woman",Gloria,555,1472
Choi Ji Woo,Lee Byung Hun,South Korea,"Mar 14, 2001 - May 31, 2001",24,"Romance,  Drama",SBS,3653,99999,7.5,"Heaven Trilogy (series), Love Triangle",Beautiful Days,441,1155
Chae Shi Ra,Ji Sung,South Korea,"Mar 20, 2004 - Oct 10, 2004",70,"Romance,  Drama,  Family",KBS2,7751,99999,7.2,"Single Parent, Infidelity",Terms of Endearment,87,331
Lee Jae Hwang,Kim Sung Min,South Korea,"Sep 23, 2005 - Dec  2, 2005",21,"Romance,  Drama",SBS,99999,99999,6.9,Revenge,Tears of Diamond,12,60
Bae Jong Ok,Kim Chang Wan,South Korea,"Apr  2, 2005 - May  8, 2005",12,"Romance,  Life,  Drama",MBC,99999,99999,7.1,,Beating Heart,50,224
Ha Hee Ra,Kim Sung Min,South Korea,"May 25, 2009 - Oct 23, 2009",106,"Romance,  Family",MBC,99999,99999,6.6,,Give Me Food,17,143
Yoon Sang Hyun,Go Soo,South Korea,"Nov 26, 2005 - Jan 22, 2006",16,"Romance,  Drama",SBS,3045,99999,6.6,"Western Series Remake, Second Chance, Reality Show",Marrying A Millionaire,544,1501
Song Eun Chae,Lee Min Ki,South Korea,"Oct 24, 2005 - Nov  3, 2006",243,"Friendship,  Comedy,  Romance,  Youth,  Drama,  Family,  Sitcom",MBC,6006,99999,7.2,,Nonstop 6,67,519
Jang Hyuk,Han Ye Seul,South Korea,"Sep 16, 2008 - Nov 25, 2008",21,"Action,  Adventure,  Thriller,  Romance,  Drama,  Melodrama",SBS,2943,99999,7.6,"Gambler, Gambling, Adapted From A Manhwa",Tazza,423,1578
Lee  Ha Na ,Kim Jee Soo,South Korea,"May 28, 2008 - Jul 31, 2008",20,"Romance,  Drama,  Melodrama",KBS2,4583,99999,7.2,,Women of the Sun,351,814
Lee Jin Woo,Yang Geum Suk,South Korea,"Oct 24, 2007 - Feb 26, 2012",211,"Romance,  Life,  Drama,  Family",KBS1,99999,99999,7.6,,Hometown Over the Hill,6,78
Yang Dong Geun,Lee Na Young,South Korea,"Jul  3, 2002 - Sep  5, 2002",20,"Romance,  Drama",MBC,5693,99999,7.6,"Opposites Attract, Rich Woman/Poor Man, Terminal Illness",Ruler of Your Own World,120,574
Song Hye Kyo,Kim Min Jong,South Korea,"Aug  1, 2001 - Sep 20, 2001",16,"Romance,  Crime,  Drama",SBS,8169,99999,7.1,,Guardian Angel,87,297
Byun Jung Soo,Byun Woo Min,South Korea,"Nov  7, 2005 - Jun  9, 2006",140,"Romance,  Life,  Sitcom",KBS2,99999,99999,8.0,,Can We Refill the Love?,9,220
Choi Ji Woo,Lee Jin Wook,South Korea,"May 19, 2007 - Jun  8, 2007",16,"Action,  Romance",MBC,4627,99999,6.6,,Air City,316,804
Lee Pil Mo,Son Dam Bi,South Korea,"Nov 28, 2011 - Jul  3, 2012",64,"Action,  Military,  Friendship,  Music,  Business,  Comedy,  Romance,  Crime,  Youth,  Drama,  Political",MBC,8203,99999,7.9,Idol Actor,Lights and Shadows,42,296
Jeong Bo Seok,Shim Eun Kyung,South Korea,"Jan 21, 2009 - Jan 29, 2009",4,Family,KBS2,99999,99999,7.1,,Kyung Sook's Father,22,104
Jung So Min,Kim Soo Hyun,South Korea,"Apr  9, 2012 - Oct  5, 2012",113,"Business,  Comedy,  Sitcom",MBC,4489,99999,7.4,,Standby,114,841
Son Hyun Joo,Kim Sang Joong,South Korea,"May 28, 2012 - Jul 17, 2012",16,"Action,  Thriller,  Mystery,  Detective,  Investigation",SBS,2404,99999,8.0,,The Chaser,423,2122
